epoch,learning_rate,loss,val_loss
0,9.499999578110874e-05,0.7891361117362976,0.6637019515037537
1,9.02499959920533e-05,0.5959323644638062,0.6153527498245239
2,8.573749801144004e-05,0.56441730260849,0.5962361097335815
3,8.145062020048499e-05,0.5526430606842041,0.5816941857337952
4,7.737809210084379e-05,0.5408385396003723,0.5696776509284973
5,7.350918895099312e-05,0.5334728956222534,0.5848308205604553
6,6.983373168623075e-05,0.5214471220970154,0.5478569865226746
7,6.634204328292981e-05,0.517012894153595,0.549143373966217
8,6.30249414825812e-05,0.5056828856468201,0.5637206435203552
9,5.98736951360479e-05,0.4884067475795746,0.5859267711639404
10,5.688000965164974e-05,0.47469544410705566,0.6339110732078552
11,5.4036008805269375e-05,0.4560594856739044,0.6764258146286011
12,5.133420927450061e-05,0.4434390068054199,0.688245952129364
13,4.876749881077558e-05,0.42824646830558777,0.6834407448768616
14,4.632912532542832e-05,0.41506436467170715,0.6515842080116272
15,4.401266778586432e-05,0.3998401165008545,0.654228150844574
16,4.1812032577581704e-05,0.3847731649875641,0.6264696717262268
17,3.972143167629838e-05,0.37405088543891907,0.6335675716400146
18,3.773536082007922e-05,0.36379337310791016,0.6272539496421814
19,3.584859223337844e-05,0.3563011884689331,0.6308991312980652
