epoch,learning_rate,loss,val_loss
0,0.0005000000237487257,0.9456971883773804,0.8977334499359131
1,0.0005000000237487257,0.8837945461273193,0.871716320514679
2,0.0005000000237487257,0.8662864565849304,0.8565012216567993
3,0.0005000000237487257,0.8567776083946228,0.8515583276748657
4,0.0005000000237487257,0.8512773513793945,0.8458752036094666
5,0.0005000000237487257,0.847089946269989,0.8412033915519714
6,0.0005000000237487257,0.8440684676170349,0.8381869792938232
7,0.0005000000237487257,0.8414526581764221,0.8377204537391663
8,0.0005000000237487257,0.8393569588661194,0.8360959887504578
9,0.0005000000237487257,0.8378530740737915,0.8304159045219421
10,0.0005000000237487257,0.8359311819076538,0.8295025825500488
11,0.0005000000237487257,0.8345730304718018,0.8287798762321472
12,0.0005000000237487257,0.8333189487457275,0.8307505249977112
13,0.0005000000237487257,0.8322816491127014,0.8286579847335815
14,0.0005000000237487257,0.8314456343650818,0.8273125290870667
15,0.0005000000237487257,0.8305115103721619,0.8249914050102234
16,0.0005000000237487257,0.8296775221824646,0.8238770365715027
17,0.0005000000237487257,0.8286300897598267,0.8226982355117798
18,0.0005000000237487257,0.8280928730964661,0.8275768756866455
19,0.0005000000237487257,0.8272585868835449,0.824960470199585
